Serial,Gas_Concentration(ppm),Temperature(°C),Pressure(psi),Thermal_Gradient(°C/m),Acoustic_Amplitude(dB),Acoustic_Frequency(Hz),Flow_Rate(L/min),Segment,Leak_Type,Leak_Status
32,171.93,22.3,84.81,0.77,32.16,332.77,54.46,8,Small,1
33,0.31,25.06,100.74,0.05,10.29,52.26,60.98,9,Non-Leak,0
34,698.67,20.86,75.71,1.55,51.68,639.84,52.47,10,Medium,1
35,0.38,25.68,100.81,0.04,9.75,50.73,60.89,11,Non-Leak,0
36,1064.69,18.7,59.79,2.45,74.25,831.87,44.16,12,Large,1
37,0.34,25.05,100.76,0.06,9.33,59.12,60.88,1,Non-Leak,0
38,182.86,22.86,83.88,0.71,34.2,335.67,55.57,2,Small,1
39,0.64,25.54,100.4,0.07,10.11,54.69,60.99,3,Non-Leak,0
40,690.85,21.39,75.07,1.63,51.6,615.55,52.96,4,Medium,1
41,0.67,25.46,100.63,0.05,9.73,52.45,60.79,5,Non-Leak,0
42,1079.56,18.82,59.27,2.65,74.74,832.27,45.58,6,Large,1
43,0.56,25.47,100.06,0.06,9.83,50.76,60.92,7,Non-Leak,0
44,150.08,22.78,83.54,0.89,30.15,349.44,55.01,8,Small,1
45,0.4,25.7,100.51,0.05,9.96,52.44,60.71,9,Non-Leak,0
46,657.78,21.09,76.15,1.73,51.36,606.21,52.86,10,Medium,1
47,0.78,25.5,100.72,0.06,10.02,57.87,60.72,11,Non-Leak,0
48,1196.97,19.41,59.71,2.57,72.24,773.97,45.93,12,Large,1
49,0.73,24.9,100.26,0.03,9.74,59.3,61.09,1,Non-Leak,0
50,173.95,22.7,84.86,0.86,34.17,331.06,56.0,2,Small,1
51,0.63,25.13,100.49,0.04,10.14,52.66,60.88,3,Non-Leak,0
52,705.89,21.47,76.81,1.67,50.13,604.65,52.02,4,Medium,1
53,0.61,25.43,100.43,0.04,10.13,51.01,60.8,5,Non-Leak,0
54,1077.12,19.35,61.53,2.3,74.15,813.81,44.96,6,Large,1
55,0.36,25.45,100.45,0.07,9.46,50.03,60.73,7,Non-Leak,0
56,183.05,22.82,83.2,0.75,32.86,330.48,54.34,8,Small,1
57,0.63,25.0,100.41,0.04,9.6,50.73,61.01,9,Non-Leak,0
58,712.91,21.57,75.88,1.61,50.77,631.2,52.83,10,Medium,1
59,0.55,24.71,100.44,0.05,9.6,50.54,60.89,11,Non-Leak,0
60,1020.59,18.22,61.75,2.79,73.06,780.86,45.23,12,Large,1
61,0.73,25.85,100.01,0.05,10.23,50.03,60.75,1,Non-Leak,0
62,165.95,22.81,84.72,0.9,33.73,320.45,55.9,2,Small,1
63,0.76,24.74,100.49,0.03,10.94,54.03,60.83,3,Non-Leak,0
64,711.23,20.77,77.64,1.7,51.94,613.32,53.02,4,Medium,1
65,0.57,25.57,100.2,0.06,10.18,52.49,61.0,5,Non-Leak,0
66,1128.61,19.0,61.08,2.65,75.04,773.0,43.7,6,Large,1
67,0.85,24.78,100.28,0.04,10.68,57.68,60.73,7,Non-Leak,0
68,195.81,22.51,83.52,0.74,30.82,341.96,54.19,8,Small,1
69,0.45,25.62,100.53,0.04,9.38,59.88,60.7,9,Non-Leak,0
70,702.86,21.03,76.69,1.68,50.88,645.08,52.47,10,Medium,1
71,0.4,25.9,100.73,0.05,10.96,54.16,60.9,11,Non-Leak,0
72,1010.86,19.63,60.07,2.5,75.84,807.37,43.8,12,Large,1
73,0.85,25.46,100.24,0.06,9.48,55.08,60.83,1,Non-Leak,0
74,170.36,22.86,83.83,0.75,31.75,337.23,55.71,2,Small,1
75,0.71,25.69,100.05,0.06,10.91,54.74,60.74,3,Non-Leak,0
76,691.88,20.76,77.58,1.76,50.97,606.94,52.37,4,Medium,1
77,0.54,24.79,100.61,0.05,9.2,55.17,60.99,5,Non-Leak,0
78,1116.41,19.83,59.44,2.47,73.93,810.09,43.72,6,Large,1
79,0.44,24.85,100.63,0.06,9.75,56.13,60.91,7,Non-Leak,0
80,151.52,22.73,83.76,0.76,34.82,313.27,54.2,8,Small,1
81,0.84,25.88,100.82,0.04,9.18,56.79,60.97,9,Non-Leak,0
82,660.81,21.0,77.15,1.77,51.08,641.07,52.12,10,Medium,1
83,0.38,24.78,100.68,0.06,9.24,56.23,60.78,11,Non-Leak,0
84,1047.21,18.7,61.03,2.77,73.35,772.28,43.89,12,Large,1
85,0.72,25.33,100.78,0.05,10.72,58.19,60.98,1,Non-Leak,0
86,155.78,22.53,83.26,0.9,31.52,333.42,54.69,2,Small,1
87,0.43,25.54,100.46,0.06,10.52,50.08,60.84,3,Non-Leak,0
88,669.51,21.14,76.17,1.66,50.52,634.74,52.34,4,Medium,1
89,0.37,25.82,100.49,0.06,9.94,58.31,61.0,5,Non-Leak,0
90,1185.58,18.12,59.31,2.32,73.96,783.4,44.62,6,Large,1
91,0.31,25.43,100.55,0.04,9.48,54.8,60.83,7,Non-Leak,0
92,187.91,22.28,84.72,0.84,34.55,351.24,54.72,8,Small,1
93,0.39,25.67,100.62,0.04,9.04,55.5,61.04,9,Non-Leak,0
94,718.74,21.25,76.32,1.55,50.42,606.25,53.14,10,Medium,1
95,0.57,25.45,100.92,0.04,9.62,57.2,60.78,11,Non-Leak,0
96,1047.88,18.07,59.53,2.32,72.63,771.5,44.25,12,Large,1
97,0.64,24.84,100.16,0.04,9.34,54.44,60.95,1,Non-Leak,0
98,170.56,22.36,83.48,0.75,33.67,310.48,55.25,2,Small,1
99,0.68,25.63,100.94,0.05,10.85,51.29,60.83,3,Non-Leak,0
100,674.17,21.51,75.95,1.57,50.27,647.5,53.18,4,Medium,1
101,0.47,25.2,100.62,0.05,10.99,59.28,60.77,5,Non-Leak,0
102,1151.03,18.36,60.95,2.68,72.46,828.88,44.63,6,Large,1
103,0.72,25.56,100.98,0.05,9.25,57.64,60.83,7,Non-Leak,0
104,167.32,22.41,83.85,0.84,32.79,312.2,54.64,8,Small,1
105,0.83,24.83,100.92,0.07,9.78,54.7,60.84,9,Non-Leak,0
106,667.34,21.57,76.58,1.79,51.24,604.41,52.19,10,Medium,1
107,0.71,25.7,100.88,0.05,9.12,55.94,60.72,11,Non-Leak,0
108,1111.43,18.62,59.22,2.8,74.94,816.6,44.12,12,Large,1
109,0.52,25.84,100.59,0.04,9.43,56.27,60.75,1,Non-Leak,0
110,179.05,22.57,83.25,0.89,32.4,355.15,55.85,2,Small,1
111,0.66,24.73,100.18,0.05,9.81,50.37,60.77,3,Non-Leak,0
112,682.05,20.72,75.62,1.63,51.34,602.07,52.64,4,Medium,1
113,0.84,25.13,100.9,0.05,9.84,55.78,60.76,5,Non-Leak,0
114,1074.27,18.44,60.41,2.31,72.9,808.22,45.37,6,Large,1
115,0.61,25.01,100.98,0.05,10.08,54.63,61.03,7,Non-Leak,0
116,172.83,22.22,83.72,0.82,34.92,336.44,54.41,8,Small,1
117,0.84,24.78,100.92,0.07,10.07,55.04,61.06,9,Non-Leak,0
118,684.01,21.52,77.63,1.53,51.36,611.74,53.38,10,Medium,1
119,0.82,24.84,100.67,0.05,10.51,51.26,60.74,11,Non-Leak,0
120,1146.34,18.76,59.59,2.65,75.92,838.92,44.67,12,Large,1
121,0.58,25.4,100.16,0.04,10.38,53.9,61.04,1,Non-Leak,0
122,184.21,22.8,84.4,0.9,33.27,331.91,55.97,2,Small,1
123,0.47,25.26,100.53,0.07,10.21,54.45,60.91,3,Non-Leak,0
124,651.16,21.4,77.95,1.68,51.82,621.33,53.12,4,Medium,1
125,0.7,25.06,100.89,0.05,9.2,58.98,60.71,5,Non-Leak,0
126,1185.64,18.78,59.4,2.69,72.17,795.63,45.96,6,Large,1
127,0.85,25.66,100.57,0.06,10.05,51.24,61.02,7,Non-Leak,0
128,190.88,22.45,84.32,0.75,31.77,310.98,54.35,8,Small,1
129,0.75,25.59,100.43,0.05,9.09,58.4,60.84,9,Non-Leak,0
130,696.64,21.58,77.66,1.73,51.2,614.47,52.45,10,Medium,1
131,0.65,25.08,100.86,0.05,9.67,51.19,60.72,11,Non-Leak,0
132,1165.04,18.96,61.52,2.78,75.23,800.91,44.24,12,Large,1
133,0.58,25.7,100.02,0.07,10.92,57.93,61.03,1,Non-Leak,0
134,156.87,22.36,83.13,0.74,34.62,348.01,55.12,2,Small,1
135,0.6,25.78,100.28,0.06,9.6,52.55,60.87,3,Non-Leak,0
136,656.67,21.2,77.42,1.54,51.66,616.8,52.77,4,Medium,1
137,0.44,25.05,100.87,0.06,10.7,54.06,61.05,5,Non-Leak,0
138,1151.39,19.26,59.17,2.55,75.5,829.61,44.95,6,Large,1
139,0.62,25.11,100.27,0.04,9.62,54.56,60.91,7,Non-Leak,0
140,198.65,22.86,84.03,0.75,33.37,357.91,55.16,8,Small,1
141,0.57,25.04,100.48,0.04,10.2,55.78,60.91,9,Non-Leak,0
142,658.27,20.84,75.82,1.58,51.04,601.21,53.06,10,Medium,1
143,0.44,25.31,100.06,0.05,9.59,58.58,60.75,11,Non-Leak,0
144,1076.91,18.91,59.37,2.58,73.39,797.98,44.33,12,Large,1
145,0.78,25.58,100.38,0.05,9.67,53.77,60.74,1,Non-Leak,0
146,166.92,22.83,83.69,0.72,32.23,348.63,54.53,2,Small,1
147,0.88,25.69,100.06,0.05,10.96,59.24,60.86,3,Non-Leak,0
148,654.59,21.06,76.23,1.73,50.81,603.86,53.47,4,Medium,1
149,0.44,25.01,100.81,0.04,10.85,57.36,60.94,5,Non-Leak,0
150,1190.08,19.02,59.01,2.46,72.94,781.19,44.75,6,Large,1
151,0.34,24.75,100.68,0.05,9.73,59.26,61.05,7,Non-Leak,0
152,164.25,22.33,83.38,0.82,34.81,347.24,55.21,8,Small,1
153,0.67,24.82,100.37,0.06,9.99,51.09,61.03,9,Non-Leak,0
154,687.17,21.31,77.57,1.75,50.82,622.25,52.81,10,Medium,1
155,0.49,25.76,100.8,0.06,10.56,51.42,60.73,11,Non-Leak,0
156,1086.38,18.0,60.37,2.47,75.3,805.42,44.62,12,Large,1
157,0.6,25.31,100.57,0.03,10.86,54.47,60.91,1,Non-Leak,0
158,199.78,22.63,83.3,0.75,30.34,332.52,55.95,2,Small,1
159,0.63,25.04,100.92,0.05,10.66,56.68,60.98,3,Non-Leak,0
160,696.13,21.07,76.64,1.63,51.46,626.94,53.44,4,Medium,1
161,0.86,25.53,100.59,0.07,9.97,59.99,61.07,5,Non-Leak,0
162,1046.98,18.68,60.42,2.57,72.81,844.97,44.37,6,Large,1
163,0.87,25.02,100.16,0.04,10.15,53.44,60.77,7,Non-Leak,0
164,161.1,22.58,84.64,0.77,33.52,331.22,55.42,8,Small,1
165,0.83,25.52,100.04,0.07,10.17,54.17,61.07,9,Non-Leak,0
166,688.35,20.61,75.18,1.6,50.43,602.23,53.38,10,Medium,1
167,0.38,25.65,100.42,0.06,9.74,54.94,60.83,11,Non-Leak,0
168,1122.19,19.14,59.01,2.5,73.29,808.66,45.21,12,Large,1
169,0.65,25.77,100.18,0.05,10.61,51.41,60.98,1,Non-Leak,0
170,172.47,22.75,83.08,0.71,30.76,335.75,54.19,2,Small,1
171,0.67,25.38,100.69,0.05,9.91,54.37,60.83,3,Non-Leak,0
172,688.09,20.63,75.79,1.64,51.02,617.85,52.33,4,Medium,1
173,0.83,25.76,100.74,0.04,10.86,57.51,60.87,5,Non-Leak,0
174,1050.29,19.25,60.73,2.77,72.77,814.49,44.4,6,Large,1
175,0.74,24.79,100.06,0.04,9.93,56.53,60.86,7,Non-Leak,0
176,176.12,22.78,83.17,0.71,30.32,341.32,55.64,8,Small,1
177,0.36,24.76,100.34,0.07,10.62,50.44,61.02,9,Non-Leak,0
178,659.16,21.07,77.51,1.56,51.28,618.28,52.55,10,Medium,1
179,0.76,24.88,100.04,0.06,9.48,57.81,60.74,11,Non-Leak,0
180,1203.37,19.19,59.49,2.49,75.91,777.21,45.65,12,Large,1
181,0.69,25.86,100.32,0.06,10.91,56.85,61.01,1,Non-Leak,0
182,150.36,22.4,84.62,0.71,30.48,323.04,55.06,2,Small,1
183,0.89,24.71,100.81,0.07,9.3,56.74,61.05,3,Non-Leak,0
184,710.58,21.23,77.39,1.64,51.84,644.57,53.3,4,Medium,1
185,0.86,25.09,100.49,0.07,9.92,53.47,61.02,5,Non-Leak,0
186,1029.63,18.1,60.59,2.73,73.06,830.73,45.95,6,Large,1
187,0.76,25.42,100.43,0.03,10.11,56.17,61.06,7,Non-Leak,0
188,184.62,22.59,84.48,0.73,34.98,319.67,54.34,8,Small,1
189,0.83,25.76,100.28,0.05,9.37,50.23,61.07,9,Non-Leak,0
190,697.85,21.19,77.22,1.58,51.81,643.25,53.1,10,Medium,1
191,0.73,25.81,100.68,0.04,10.26,56.36,60.94,11,Non-Leak,0
192,1085.86,18.42,59.85,2.34,72.07,839.91,45.8,12,Large,1
193,0.76,24.99,100.77,0.07,10.49,52.75,61.07,1,Non-Leak,0
194,170.52,22.47,83.21,0.73,34.73,359.87,55.56,2,Small,1
195,0.39,25.29,100.35,0.05,9.84,54.61,60.9,3,Non-Leak,0
196,673.85,20.9,76.04,1.72,51.85,609.3,52.39,4,Medium,1
197,0.34,25.14,100.26,0.05,9.7,51.76,60.98,5,Non-Leak,0
198,1151.06,19.78,61.99,2.62,72.51,838.97,45.45,6,Large,1
199,0.52,25.79,100.73,0.05,9.82,59.19,60.72,7,Non-Leak,0
200,196.4,22.68,84.9,0.86,32.56,332.67,55.56,8,Small,1
201,0.85,25.58,100.02,0.04,9.17,52.33,60.78,9,Non-Leak,0
202,657.37,21.33,76.46,1.71,51.51,638.62,52.55,10,Medium,1
203,0.5,25.36,100.22,0.05,10.05,56.57,60.8,11,Non-Leak,0
204,1133.32,18.05,60.9,2.43,75.27,785.42,45.13,12,Large,1
205,0.65,25.16,100.65,0.03,10.99,51.3,60.84,1,Non-Leak,0
206,188.14,22.69,83.77,0.83,34.55,352.26,54.18,2,Small,1
207,0.81,25.73,100.4,0.03,10.29,59.75,60.74,3,Non-Leak,0
208,671.79,20.75,77.16,1.61,50.04,635.29,52.26,4,Medium,1
209,0.79,25.86,100.09,0.06,10.78,57.76,60.73,5,Non-Leak,0
210,1172.42,18.22,60.63,2.7,74.08,803.05,45.03,6,Large,1
211,0.73,25.72,100.7,0.06,10.05,57.59,61.0,7,Non-Leak,0
212,186.51,22.7,84.76,0.73,33.7,356.29,55.55,8,Small,1
213,0.69,25.48,100.52,0.06,9.67,56.87,61.01,9,Non-Leak,0
214,657.94,20.73,76.74,1.68,51.44,614.63,52.59,10,Medium,1
215,0.88,24.96,100.49,0.06,10.05,57.27,60.86,11,Non-Leak,0
216,1037.69,19.64,59.8,2.73,73.2,825.74,44.54,12,Large,1
217,0.89,24.76,100.77,0.06,10.57,51.51,60.86,1,Non-Leak,0
218,163.86,22.68,84.81,0.84,32.88,354.01,54.49,2,Small,1
219,0.73,25.44,100.53,0.07,9.27,50.07,60.9,3,Non-Leak,0
220,702.77,21.18,77.66,1.77,51.29,642.03,52.47,4,Medium,1
221,0.79,25.36,100.25,0.06,9.21,50.05,60.98,5,Non-Leak,0
222,1131.62,19.4,60.57,2.42,72.94,784.2,43.56,6,Large,1
223,0.39,25.05,100.05,0.06,9.54,54.33,60.76,7,Non-Leak,0
224,163.37,22.68,84.3,0.72,33.23,356.84,54.5,8,Small,1
225,0.49,25.45,100.83,0.05,9.88,56.99,60.95,9,Non-Leak,0
226,684.49,20.95,75.41,1.52,50.49,644.11,52.14,10,Medium,1
227,0.68,25.12,100.9,0.03,10.27,57.18,60.82,11,Non-Leak,0
228,1044.52,19.34,60.59,2.62,73.77,834.58,45.46,12,Large,1
229,0.72,25.31,100.03,0.06,9.1,56.79,60.95,1,Non-Leak,0
230,178.36,22.84,84.41,0.85,31.63,345.24,54.42,2,Small,1
231,0.86,25.48,100.27,0.06,9.14,50.34,60.74,3,Non-Leak,0
232,704.31,21.43,76.94,1.58,50.83,642.22,53.13,4,Medium,1
233,0.63,25.2,100.4,0.06,9.18,50.51,60.9,5,Non-Leak,0
234,1119.74,18.64,60.45,2.67,74.63,791.5,43.82,6,Large,1
235,0.47,25.08,100.84,0.04,9.21,53.11,61.08,7,Non-Leak,0
236,188.31,22.51,84.79,0.85,33.79,313.96,55.62,8,Small,1
237,0.47,25.1,100.88,0.04,9.03,58.55,60.93,9,Non-Leak,0
238,703.15,21.04,75.81,1.56,50.95,600.66,52.21,10,Medium,1
239,0.46,25.36,100.73,0.07,10.1,50.34,60.82,11,Non-Leak,0
240,1159.59,19.26,60.17,2.47,75.14,780.39,43.67,12,Large,1
241,0.4,24.87,100.75,0.03,9.66,51.61,60.91,1,Non-Leak,0
242,152.5,22.37,83.76,0.87,33.23,322.11,54.42,2,Small,1
243,0.62,25.28,100.9,0.04,9.24,52.13,60.75,3,Non-Leak,0
244,663.66,20.94,77.23,1.71,50.67,605.99,52.29,4,Medium,1
245,0.39,25.68,100.13,0.06,10.66,52.19,61.09,5,Non-Leak,0
246,1197.45,19.77,59.36,2.79,74.18,813.37,43.72,6,Large,1
247,0.59,25.87,100.75,0.05,10.83,51.98,60.72,7,Non-Leak,0
248,192.66,22.22,84.4,0.79,34.74,359.58,55.71,8,Small,1
249,0.38,25.37,100.72,0.06,9.69,56.28,60.7,9,Non-Leak,0
250,709.09,20.96,76.07,1.72,51.75,609.23,52.43,10,Medium,1
251,0.63,24.7,100.86,0.05,9.74,58.76,61.07,11,Non-Leak,0
252,1092.23,19.86,60.39,2.73,75.63,793.23,44.29,12,Large,1
253,0.74,24.82,100.42,0.07,9.5,59.45,60.88,1,Non-Leak,0
254,155.84,22.25,83.02,0.83,34.08,332.13,55.83,2,Small,1
255,0.8,25.29,100.95,0.07,10.06,58.07,60.77,3,Non-Leak,0
256,658.13,21.4,77.47,1.55,50.5,618.22,52.39,4,Medium,1
257,0.44,25.14,100.82,0.05,9.09,54.68,61.09,5,Non-Leak,0
258,1075.57,19.57,59.11,2.35,72.1,771.9,44.88,6,Large,1
259,0.8,25.78,100.97,0.06,10.77,52.52,60.92,7,Non-Leak,0
260,193.74,22.88,84.59,0.74,34.3,326.74,54.81,8,Small,1
261,0.57,24.81,100.72,0.06,9.97,50.3,60.83,9,Non-Leak,0
262,651.41,21.55,76.36,1.69,51.66,647.62,53.38,10,Medium,1
263,0.34,25.36,100.15,0.04,10.06,52.82,60.85,11,Non-Leak,0
264,1160.64,18.44,59.35,2.48,73.56,786.21,43.61,12,Large,1
265,0.72,24.99,100.01,0.05,9.23,56.52,60.74,1,Non-Leak,0
266,180.38,22.83,84.79,0.72,34.96,323.62,54.26,2,Small,1
267,0.53,25.63,100.77,0.04,10.57,55.6,60.71,3,Non-Leak,0
268,679.04,21.25,76.13,1.62,51.69,609.2,53.13,4,Medium,1
269,0.51,25.52,100.4,0.05,9.29,58.38,60.97,5,Non-Leak,0
270,1046.18,19.01,60.47,2.76,72.62,791.41,43.71,6,Large,1
271,0.73,24.98,100.83,0.05,10.42,51.32,60.8,7,Non-Leak,0
272,162.7,22.64,84.18,0.77,31.15,315.84,55.51,8,Small,1
273,0.84,25.11,100.27,0.05,9.12,51.21,61.03,9,Non-Leak,0
274,684.65,21.12,76.33,1.55,51.48,619.86,52.51,10,Medium,1
275,0.58,25.5,100.07,0.05,10.59,56.86,60.92,11,Non-Leak,0
276,1177.96,19.55,60.61,2.66,72.77,772.32,43.91,12,Large,1
277,0.88,25.47,100.92,0.03,9.18,53.4,60.74,1,Non-Leak,0
278,150.25,22.3,83.36,0.77,33.73,331.21,55.85,2,Small,1
279,0.6,25.42,100.04,0.05,10.26,57.31,61.09,3,Non-Leak,0
280,656.34,21.41,77.98,1.63,51.48,622.19,53.04,4,Medium,1
281,0.33,25.2,100.51,0.07,10.04,55.49,60.85,5,Non-Leak,0
282,1130.52,18.89,60.25,2.76,72.41,780.02,45.05,6,Large,1
283,0.33,24.82,100.42,0.07,9.86,58.48,61.04,7,Non-Leak,0
284,170.19,22.51,83.29,0.87,32.89,340.54,54.74,8,Small,1
285,0.38,25.56,100.87,0.05,10.71,51.32,60.84,9,Non-Leak,0
286,714.24,20.86,77.42,1.67,51.93,615.34,52.53,10,Medium,1
287,0.62,25.4,100.77,0.04,10.38,53.92,60.8,11,Non-Leak,0
288,1217.59,19.39,59.83,2.4,74.56,817.27,43.58,12,Large,1
289,0.61,24.73,100.55,0.06,10.04,59.28,60.95,1,Non-Leak,0
290,187.94,22.2,84.8,0.78,33.82,342.69,54.55,2,Small,1
291,0.55,25.03,100.46,0.05,10.09,50.56,60.89,3,Non-Leak,0
292,681.87,20.9,76.72,1.61,50.11,623.07,52.57,4,Medium,1
293,0.51,25.52,100.04,0.06,9.03,58.57,60.71,5,Non-Leak,0
294,1099.86,18.94,61.64,2.31,74.27,780.26,44.0,6,Large,1
295,0.53,25.62,100.4,0.04,11.0,55.88,60.86,7,Non-Leak,0
296,174.7,22.79,84.67,0.8,34.73,328.42,55.0,8,Small,1
297,0.45,25.74,100.08,0.04,10.85,57.19,60.87,9,Non-Leak,0
298,661.56,20.87,76.46,1.65,51.98,637.68,52.05,10,Medium,1
299,0.38,25.28,100.41,0.06,10.01,53.66,61.09,11,Non-Leak,0
300,1118.92,18.59,60.3,2.61,73.98,831.06,45.0,12,Large,1
301,0.67,25.39,100.28,0.04,10.29,50.38,60.98,1,Non-Leak,0
302,150.16,22.87,83.72,0.74,30.66,344.98,54.17,2,Small,1
303,0.35,24.83,100.1,0.04,10.04,57.65,61.05,3,Non-Leak,0
304,703.82,21.16,75.92,1.75,50.55,638.55,52.34,4,Medium,1
305,0.8,25.46,100.02,0.07,10.73,58.05,61.05,5,Non-Leak,0
306,1013.92,19.88,59.66,2.59,72.72,772.48,45.84,6,Large,1
307,0.82,24.77,100.66,0.06,10.17,53.68,60.87,7,Non-Leak,0
308,154.22,22.38,84.68,0.75,30.44,319.41,54.59,8,Small,1
309,0.34,25.89,100.21,0.03,9.44,52.59,61.09,9,Non-Leak,0
310,699.45,21.1,75.08,1.56,51.58,646.73,52.43,10,Medium,1
311,0.57,24.91,100.95,0.05,9.67,59.14,60.97,11,Non-Leak,0
312,1107.23,18.0,60.36,2.79,73.47,785.63,45.09,12,Large,1
313,0.8,25.31,100.85,0.06,10.93,56.32,60.83,1,Non-Leak,0
314,181.43,22.94,83.71,0.88,30.94,353.39,55.04,2,Small,1
315,0.73,25.51,100.71,0.03,9.5,59.36,60.79,3,Non-Leak,0
316,694.11,21.27,77.47,1.76,51.82,606.9,52.81,4,Medium,1
317,0.67,24.78,100.39,0.06,9.39,51.49,60.82,5,Non-Leak,0
318,1101.7,18.01,60.46,2.62,72.09,823.66,44.84,6,Large,1
319,0.52,25.39,100.08,0.04,10.35,55.84,60.92,7,Non-Leak,0
320,185.51,22.35,84.62,0.9,32.34,329.5,55.69,8,Small,1
321,0.76,25.28,100.05,0.06,10.21,59.49,61.09,9,Non-Leak,0
322,693.03,21.14,76.23,1.73,50.18,602.55,52.36,10,Medium,1
323,0.89,25.44,100.72,0.04,10.17,58.59,60.96,11,Non-Leak,0
324,1044.94,19.49,59.83,2.57,73.18,791.39,44.6,12,Large,1
325,0.84,25.35,100.88,0.05,9.02,51.91,60.96,1,Non-Leak,0
326,157.13,22.32,83.15,0.89,33.19,334.11,55.0,2,Small,1
327,0.47,25.07,100.41,0.04,10.97,56.65,60.86,3,Non-Leak,0
328,674.8,21.27,77.06,1.69,51.97,635.71,53.38,4,Medium,1
329,0.36,25.29,100.73,0.06,9.88,52.91,60.73,5,Non-Leak,0
330,1002.65,18.3,61.05,2.46,72.07,846.58,45.93,6,Large,1
331,0.37,25.42,100.6,0.05,10.86,59.07,60.98,7,Non-Leak,0
332,170.31,22.78,84.12,0.82,31.58,348.19,54.75,8,Small,1
333,0.82,24.77,100.73,0.03,10.96,51.78,60.73,9,Non-Leak,0
334,659.33,21.4,77.97,1.77,50.3,614.97,53.23,10,Medium,1
335,0.68,24.71,100.63,0.06,10.43,50.58,61.09,11,Non-Leak,0
336,1018.39,18.76,61.82,2.72,73.76,846.28,43.75,12,Large,1
337,0.41,25.59,100.25,0.05,10.52,54.07,60.75,1,Non-Leak,0
338,152.08,22.67,83.79,0.78,30.87,331.86,54.35,2,Small,1
339,0.76,24.84,100.7,0.05,10.1,56.26,60.75,3,Non-Leak,0
340,660.99,20.79,75.94,1.69,50.0,627.14,52.23,4,Medium,1
341,0.51,25.46,100.09,0.04,9.17,54.5,60.93,5,Non-Leak,0
342,1029.33,19.48,60.2,2.35,74.87,783.31,44.13,6,Large,1
343,0.4,25.34,100.68,0.06,10.49,59.17,60.83,7,Non-Leak,0
344,167.49,22.94,83.93,0.74,32.53,348.24,55.87,8,Small,1
345,0.32,24.71,100.99,0.07,9.49,51.95,60.78,9,Non-Leak,0
346,666.52,20.72,75.33,1.63,51.53,627.57,52.4,10,Medium,1
347,0.47,25.87,100.54,0.07,10.43,58.61,61.03,11,Non-Leak,0
348,1172.57,19.11,59.54,2.33,72.85,773.1,45.71,12,Large,1
349,0.38,25.3,100.45,0.04,9.86,54.68,61.1,1,Non-Leak,0
350,194.05,22.89,84.05,0.76,31.12,318.36,55.64,2,Small,1
